Date Time RTD Vsamp
2020-02-24 16:46:16.536117 1113.36421 0.00194169
2020-02-24 16:46:16.579119 1113.36671 0.00194169
2020-02-24 16:46:16.623122 1113.36384 0.00194169
2020-02-24 16:46:16.663124 1113.36443 0.00194169
2020-02-24 16:46:16.694126 1113.36399 0.00194169
2020-02-24 16:46:16.725128 1113.36406 0.00194169
2020-02-24 16:46:16.770130 1113.36612 0.00194169
2020-02-24 16:46:16.813133 1113.36664 0.00194169
2020-02-24 16:46:16.858135 1113.36863 0.00194169
2020-02-24 16:46:16.905138 1113.36951 0.00194169
2020-02-24 16:46:16.948140 1113.37084 0.00194169
2020-02-24 16:46:16.993143 1113.37231 0.00194169
2020-02-24 16:46:17.035145 1113.37268 0.00194169
2020-02-24 16:46:17.075148 1113.37305 0.00194169
2020-02-24 16:46:17.108150 1113.37305 0.00194169
2020-02-24 16:46:17.139151 1113.37371 0.00194169
2020-02-24 16:46:17.180154 1113.3746 0.00194169
2020-02-24 16:46:17.227156 1113.37474 0.00194169
2020-02-24 16:46:17.275159 1113.37371 0.00194169
2020-02-24 16:46:17.321162 1113.37342 0.00194169
2020-02-24 16:46:17.371165 1113.3746 0.00194169
2020-02-24 16:46:17.420167 1113.37452 0.00194169
2020-02-24 16:46:17.467170 1113.37622 0.00194169
2020-02-24 16:46:17.511173 1113.37843 0.00194169
2020-02-24 16:46:17.563176 1113.37887 0.00194169
2020-02-24 16:46:17.610178 1113.37961 0.00194169
2020-02-24 16:46:17.659181 1113.38219 0.00194169
2020-02-24 16:46:17.707184 1113.38403 0.00194169
2020-02-24 16:46:17.744186 1113.38403 0.00194169
2020-02-24 16:46:17.776188 1113.38536 0.00194169
2020-02-24 16:46:17.809190 1113.38631 0.00194169
2020-02-24 16:46:17.852192 1113.3872 0.00194169
2020-02-24 16:46:17.900195 1113.3872 0.00194169
2020-02-24 16:46:17.932197 1113.38779 0.00194169
2020-02-24 16:46:17.959198 1113.38801 0.00194169
2020-02-24 16:46:18.008201 1113.38838 0.00194169
2020-02-24 16:46:18.057204 1113.38934 0.00194169
2020-02-24 16:46:18.104207 1113.38889 0.00194169
2020-02-24 16:46:18.135208 1113.39007 0.00194169
2020-02-24 16:46:18.167210 1113.39169 0.00194169
2020-02-24 16:46:18.209213 1113.39258 0.00194169
2020-02-24 16:46:18.252215 1113.39486 0.00194169
2020-02-24 16:46:18.296218 1113.39656 0.00194169
2020-02-24 16:46:18.340220 1113.39847 0.00194169
2020-02-24 16:46:18.379222 1113.39825 0.00194169
2020-02-24 16:46:18.412224 1113.39862 0.00194169
2020-02-24 16:46:18.444226 1113.39766 0.00194169
2020-02-24 16:46:18.486228 1113.39766 0.00194169
2020-02-24 16:46:18.531231 1113.40098 0.00194169
2020-02-24 16:46:18.575233 1113.40128 0.00194169
2020-02-24 16:46:18.621236 1113.40209 0.00194169
2020-02-24 16:46:18.664239 1113.40216 0.00194169
2020-02-24 16:46:18.708241 1113.40245 0.00194169
2020-02-24 16:46:18.752244 1113.40245 0.00194169
2020-02-24 16:46:18.791246 1113.40209 0.00194169
2020-02-24 16:46:18.824248 1113.40533 0.00194169
2020-02-24 16:46:18.857250 1113.40444 0.00194169
