Date_Time RTD Rsamp
2020-02-26 11:36:36.173976 1110.6223 39.8756374 
2020-02-26 11:36:36.233979 1110.62352 39.8727639 
2020-02-26 11:36:36.316984 1110.63219 39.8737217 
2020-02-26 11:36:36.377987 1110.64 39.8733533 
2020-02-26 11:36:36.444991 1110.64486 39.8724692 
2020-02-26 11:36:36.504995 1110.6526 39.8725429 
2020-02-26 11:36:36.586999 1110.65791 39.8732797 
2020-02-26 11:36:36.648003 1110.6627 39.8729849 
2020-02-26 11:36:36.715007 1110.66992 39.8728376 
2020-02-26 11:36:36.775010 1110.67331 39.8720271 
2020-02-26 11:36:36.857015 1110.67678 39.8727639 
2020-02-26 11:36:36.918018 1110.68356 39.8745322 
2020-02-26 11:36:36.985022 1110.6924 39.8746059 
2020-02-26 11:36:37.044025 1110.69727 39.8762268 
2020-02-26 11:36:37.127030 1110.7022 39.8778477 
2020-02-26 11:36:37.194034 1110.71112 39.8784371 
2020-02-26 11:36:37.253037 1110.7168 39.8794686 
2020-02-26 11:36:37.314041 1110.72166 39.8807212 
2020-02-26 11:36:37.400046 1110.72874 39.8808685 
2020-02-26 11:36:37.460049 1110.73692 39.8819 
2020-02-26 11:36:37.521053 1110.7406 39.8825631 
2020-02-26 11:36:37.582056 1110.7465 39.8827105 
2020-02-26 11:36:37.664061 1110.74923 39.8826368 
2020-02-26 11:36:37.724064 1110.75262 39.882121 
2020-02-26 11:36:37.787068 1110.75836 39.8807948 
2020-02-26 11:36:37.853072 1110.76316 39.8819 
2020-02-26 11:36:37.938076 1110.7703 39.8819724 
2020-02-26 11:36:37.999080 1110.77893 39.8809395 
2020-02-26 11:36:38.062084 1110.78409 39.8809382 
2020-02-26 11:36:38.128087 1110.78711 39.8811579 
2020-02-26 11:36:38.210092 1110.79477 39.8803461 
2020-02-26 11:36:38.271096 1110.80244 39.8812289 
2020-02-26 11:36:38.337099 1110.80735 39.8807118 
2020-02-26 11:36:38.403103 1110.81506 39.8813736 
2020-02-26 11:36:38.488108 1110.81928 39.8827721 
2020-02-26 11:36:38.554112 1110.8277 39.8807078 
2020-02-26 11:36:38.620116 1110.8322 39.879971 
2020-02-26 11:36:38.681119 1110.8378 39.8815919 
2020-02-26 11:36:38.763124 1110.84052 39.8824761 
2020-02-26 11:36:38.824127 1110.8504 39.8815919 
2020-02-26 11:36:38.886131 1110.85711 39.8819603 
2020-02-26 11:36:38.952134 1110.85983 39.8815919 
2020-02-26 11:36:39.034139 1110.86492 39.8816656 
2020-02-26 11:36:39.095143 1110.86942 39.8808551 
